Participant_ID,Gender,Ethnicity,Language_Status,Father_education_30,Father_education_lang_30,Mother_education_30,Mother_education_lang_30,Chronological_age_30,Input_percent_Eng_home_30,Chronological_age_36,Input_percent_Eng_home_36,Chronological_age_42,Input_percent_Eng_home_42,Chronological_age_48,Input_percent_Eng_home_48
R2130Mo055,1,2,1,2,2,4,1,29.87,10.0,-997.0,-997,42.0,25,48.17,35
R2130Mo056,1,2,1,5,2,5,2,30.6,30.0,-997.0,-997,42.43,20,48.4,30
R2130Mo058,0,2,1,2,2,4,2,29.83,0.0,-997.0,-997,42.17,1,48.17,10
R2130Mo059,1,3,1,3,1,4,1,30.63,40.0,-997.0,-997,42.5,50,48.33,20
R2130Mo061,1,2,1,5,1,5,1,30.57,50.0,-997.0,-997,-997.0,-997,-997.0,-997
R2130Mo062,0,2,1,4,1,4,2,30.67,20.0,-997.0,-997,42.5,35,48.53,20
R2130Mo063,0,2,1,4,2,3,1,30.03,20.0,-997.0,-997,-997.0,-997,-997.0,-997
R2130Mo064,0,2,1,2,2,4,2,29.93,20.0,-997.0,-997,-997.0,-997,48.37,0
R2130Mo065,0,2,1,2,1,3,1,30.6,60.0,-997.0,-997,-997.0,-997,-997.0,-997
R2130Mo067,1,2,1,4,2,2,1,30.33,50.0,-997.0,-997,42.77,65,48.03,80
R2130Mo069,1,2,1,4,1,5,1,30.37,40.0,36.67,20,41.97,40,48.43,75
R2130Mo073,1,2,1,2,2,2,1,30.07,0.0,-997.0,-997,-997.0,-997,-997.0,-997
R2130Mo074,0,3,1,3,1,2,1,30.6,70.0,36.9,20,42.77,60,47.9,60
R2130Mo075,0,4,1,3,1,3,1,29.77,50.0,-997.0,-997,42.13,60,-997.0,-997
R2130Mo076,0,2,1,3,1,3,1,30.87,0.0,-997.0,-997,42.33,0,48.97,0
R2130Mo077,0,2,1,3,1,3,1,30.5,0.0,35.93,10,42.23,0,48.53,0
R2130Mo078,0,2,1,4,1,4,1,29.8,80.0,-997.0,-997,-997.0,-997,-997.0,-997
R2130Mo079,0,2,1,3,1,4,2,30.77,30.0,36.03,0,42.33,20,49.0,0
R2130Mo080,1,2,1,3,1,3,1,30.93,75.0,36.0,75,42.33,70,49.2,55
R2130Mo081,0,2,1,3,2,2,2,30.0,20.0,-997.0,-997,-997.0,-997,-997.0,-997
R2130Mo082,0,2,1,3,2,2,2,30.3,40.0,-997.0,-997,-997.0,-997,-997.0,-997
R2130Mo083,0,2,1,3,1,2,2,29.83,30.0,-997.0,-997,-997.0,-997,-997.0,-997
R2130Mo084,1,2,1,4,2,4,2,30.9,10.0,-997.0,-997,42.6,30,47.9,20
