item,itemID,type,choices,complexity_category,definition,gloss
bike,item_121,VEHICLES (Real or toy),produces; doesn't produce,,bike_bicycle,bike
tarracóir,item_122,VEHICLES (Real or toy),produces; doesn't produce,,tarracóir,tractor
tractor,item_123,VEHICLES (Real or toy),produces; doesn't produce,,tractor,tractor
tochaltóir,item_124,VEHICLES (Real or toy),produces; doesn't produce,,tochaltóir_bainteoir,digger
digger,item_125,VEHICLES (Real or toy),produces; doesn't produce,,digger,digger
traein,item_126,VEHICLES (Real or toy),produces; doesn't produce,,traein_train,truck
truck,item_127,VEHICLES (Real or toy),produces; doesn't produce,,truck_trucail,truck
veain,item_128,VEHICLES (Real or toy),produces; doesn't produce,,veain_van,van
bábóg,item_129,TOYS,produces; doesn't produce,,bábóg,doll
doll,item_130,TOYS,produces; doesn't produce,,doll,doll
balún,item_131,TOYS,produces; doesn't produce,,balún_balloon,Balloon
bloic,item_132,TOYS,produces; doesn't produce,,bloic_brící,blocks
blocks,item_133,TOYS,produces; doesn't produce,,blocks,blocks
boilgeoga,item_134,TOYS,produces; doesn't produce,,boilgeoga,bubbles
bubbles,item_135,TOYS,produces; doesn't produce,,bubbles,bubbles
bréagán,item_136,TOYS,produces; doesn't produce,,bréagán_áilleagán,toy
toy,item_137,TOYS,produces; doesn't produce,,toy,toy
bronntanas,item_138,TOYS,produces; doesn't produce,,bronntanas_féirín,present
present,item_139,TOYS,produces; doesn't produce,,present,present
camán,item_140,TOYS,produces; doesn't produce,,camán,hurley
hurley,item_141,TOYS,produces; doesn't produce,,hurley,hurley
cluiche,item_142,TOYS,produces; doesn't produce,,cluiche,game
game,item_143,TOYS,produces; doesn't produce,,game,game
crayon,item_144,TOYS,produces; doesn't produce,,crayon_crián,crayon
dathú,item_145,TOYS,produces; doesn't produce,,dathú,druma
druma,item_146,TOYS,produces; doesn't produce,,druma,druma
drum,item_147,TOYS,produces; doesn't produce,,drum,drum
gliú,item_148,TOYS,produces; doesn't produce,,gliú_glue_ie,glu
gunna,item_149,TOYS,produces; doesn't produce,,gunna,gun
gun,item_150,TOYS,produces; doesn't produce,,gun,gun
leabhar,item_151,TOYS,produces; doesn't produce,,leabhar,book
