,age_21,age_22,age_23,age_24,age_25,age_26
TV,0.0,0.25,0.38,0.65,0.64,1.0
washing machine,0.0,0.0,0.19,0.06,0.09,0.0
window,0.0,0.25,0.31,0.24,0.36,0.0
backyard,0.0,0.0,0.12,0.18,0.09,0.0
cloud,0.0,0.0,0.19,0.12,0.18,0.0
flag,0.0,0.0,0.06,0.06,0.09,0.0
flower,0.0,0.25,0.25,0.71,0.73,0.0
garden,0.0,0.0,0.06,0.18,0.09,0.0
grass,0.0,0.0,0.31,0.29,0.36,0.0
hose,0.0,0.0,0.12,0.06,0.09,0.0
ladder,0.0,0.0,0.19,0.06,0.18,0.0
lawn mower,0.0,0.0,0.06,0.12,0.0,0.0
moon,0.0,0.25,0.5,0.59,0.55,0.0
pool,0.0,0.0,0.25,0.41,0.36,0.0
rain,0.0,0.25,0.38,0.47,0.36,0.0
rock,0.0,0.0,0.19,0.35,0.45,0.0
roof,0.0,0.0,0.12,0.12,0.09,0.0
sandbox,0.0,0.0,0.12,0.12,0.0,0.0
shovel,0.0,0.0,0.31,0.12,0.18,0.0
sidewalk,0.0,0.0,0.12,0.12,0.09,0.0
sky,0.0,0.0,0.31,0.18,0.27,0.0
slide,0.0,0.25,0.25,0.35,0.27,0.0
snow,0.0,0.25,0.38,0.47,0.64,0.0
snowman,0.0,0.0,0.12,0.18,0.27,0.0
sprinkler,0.0,0.0,0.06,0.12,0.09,0.0
star,0.0,0.25,0.5,0.35,0.55,1.0
stick,0.0,0.0,0.12,0.29,0.36,0.0
stone,0.0,0.0,0.0,0.06,0.09,0.0
street,0.0,0.0,0.12,0.18,0.18,0.0
sun,0.0,0.5,0.25,0.59,0.36,0.0
swing,0.0,0.0,0.25,0.47,0.36,0.0
tree,0.0,0.0,0.38,0.65,0.45,0.0
water,0.0,0.25,0.44,0.71,0.55,0.0
wind,0.0,0.0,0.19,0.18,0.27,0.0
beach,0.0,0.0,0.19,0.18,0.18,0.0
camping,0.0,0.0,0.06,0.12,0.09,0.0
church,0.0,0.0,0.06,0.18,0.18,0.0
circus,0.0,0.0,0.0,0.06,0.0,0.0
country,0.0,0.0,0.06,0.12,0.09,0.0
downtown,0.0,0.0,0.06,0.06,0.09,0.0
farm,0.0,0.25,0.12,0.12,0.09,0.0
gas station,0.0,0.0,0.06,0.06,0.0,0.0
home ,0.0,0.0,0.38,0.65,0.45,0.0
house,0.0,0.25,0.38,0.41,0.0,0.0
movie,0.0,0.0,0.06,0.12,0.18,0.0
outside,0.0,0.0,0.31,0.59,0.55,0.0
park,0.0,0.5,0.38,0.53,0.64,0.0
party,0.0,0.0,0.06,0.24,0.18,0.0
picnic,0.0,0.0,0.06,0.06,0.0,0.0
playground,0.0,0.0,0.12,0.24,0.0,0.0
school,0.0,0.0,0.19,0.35,0.36,0.0
store,0.0,0.0,0.25,0.24,0.27,0.0
woods,0.0,0.0,0.06,0.06,0.09,0.0
work,0.0,0.0,0.19,0.18,0.27,0.0
yard,0.0,0.0,0.06,0.12,0.09,0.0
zoo,0.0,0.0,0.12,0.12,0.18,0.0
aunt,0.0,0.0,0.19,0.35,0.27,0.0
