,age_17,age_18,age_19,age_20,age_21,age_22,age_23,age_24,age_25,age_26,age_27,age_28,age_29,age_30,age_31,age_32,age_33,age_34,age_35,age_36
child_id,"['JM17M039', 'VE15F088']","['AC17F058', 'AM18F020', 'AM18M078', 'DY10M048', 'ED06M117', 'ES11M099', 'FM08F039', 'GR14M119', 'JM08M048', 'JM14F039', 'JR15M119', 'SB12M048']","['AA04M058', 'AR15F039', 'CC05M088', 'CG10M058', 'EG12M048', 'EJ19F108', 'EP14F109', 'EU10F048', 'GH11M098', 'JC18M088', 'JE09M048', 'KW16F048', 'MC07M058', 'MF04F117', 'MG00M068', 'MG04F057', 'RH19M048']","['EB19M039', 'FA20M039', 'NA00M058', 'VO19M039']","['CS21M078', 'HE03F038', 'LH19M049', 'NW07M108', 'SL03F038', 'SS11F058', 'ZZ21M049']","['AF01F058', 'AL13F039', 'JH11M058', 'KB09F049', 'KH06F098', 'MG21M039', 'SS07F088', 'TS20M118']","['AR15F039', 'CS23F039', 'CW02F097', 'JM08M048', 'JR23M049', 'MD06M048', 'MW02M048', 'TR12M048', 'VP23F039']","['AB03F057', 'AJ14M058', 'AL06F098', 'AM18M078', 'AM22M088', 'AP15F088', 'BC21M088', 'BN14M098', 'CC05M088', 'CK19F088', 'CT21M048', 'DG12M048', 'EA22F108', 'EG12M048', 'EO04F018', 'ER17M078', 'ET09F058', 'FA20M039', 'GM18F049', 'HS13M087', 'JM14F039', 'JM14M58B', 'JM17M039', 'JO21M068', 'JS20M058', 'KV23F108', 'MA05M018', 'MK03M057', 'MS11F038', 'OO18F088', 'PI20F058', 'RL17M058', 'SP24F039', 'VA24M030', 'VE15F088', 'VL18F058']","['AW04M057', 'CG10M058', 'CS04F047', 'DR13M038', 'DY10M048', 'GG17M078', 'GH11M098', 'GS24F058', 'JE25F058', 'JO25M059', 'JV04M057', 'KH24F010', 'LG21M058', 'LK24F068', 'LP21M088', 'MC07M058', 'MF04F117', 'MM16M088', 'MV11M058', 'PR20F078', 'RA25M039', 'SL14F038', 'SM17F039', 'VG11F088']","['AA04M058', 'CA26M039', 'CD26M020', 'CS07F078', 'DY10M048', 'EG03F107', 'JE18M088', 'PA26M109', 'RA26F039']","['AL16F039', 'CF27F089', 'CS21M078', 'EU10F048', 'IC14F039', 'IR22M018', 'JM04F048', 'MD27F020', 'VG27F049']","['AG06M058', 'AP28F030', 'CW02F097', 'IC28M039', 'JM17M039', 'KG23F019', 'KW16F048', 'SM25F069', 'TS20M118']","['AG21M059', 'AM18M078', 'AS28F039', 'CE24M068', 'CS23F039', 'DG29F098', 'EC29F030', 'EM25F039', 'IA25F058', 'JO21M068', 'JS25M019', 'OO18F088', 'RH19M048', 'VE15F088']","['AA30F039', 'AO31F030', 'AS24M088', 'BN14M098', 'CF27F089', 'CR29M098', 'CS04F047', 'CT21M048', 'DS29M039', 'DV27M058', 'EB19M039', 'ED06M117', 'EV23F088', 'GS24F058', 'JM30F048', 'KV23F108', 'MB30M078', 'MK03M057', 'ML27F028', 'PI20F058', 'RA25M039', 'RI30M058', 'SM17F039', 'VP23F039', 'YT29F049']","['AJ14M058', 'AW04M057', 'BC21M088', 'CK19F088', 'CP31F088', 'CW02F097', 'DB31M030', 'EG31M049', 'EJ19F108', 'GM24F098', 'IR30M058', 'JV04M057', 'KG23F019', 'MA05M018', 'SS11F058', 'TM30M058', 'VG11F088']","['AL28F118', 'AP15F088', 'CV32M038', 'DY10M048', 'ER31F058', 'ET32F098', 'GB21M058', 'JH11M058', 'MS31F058', 'MV11M058', 'OF32F058', 'RA25M039', 'SW31F048', 'ZZ21M049']","['EC30M058', 'JS32F059', 'PR20F078']",['MK03M057'],['NR19F069'],['JV04M057']
feet,0.0,0.25,0.12,0.0,0.0,0.5,0.44,0.31,0.58,0.56,0.33,0.33,0.07,0.4,0.53,0.57,0.0,0.0,1.0,0.0
feets,0.0,0.08,0.12,0.0,0.0,0.25,0.0,0.03,0.12,0.0,0.22,0.22,0.0,0.24,0.18,0.14,0.0,1.0,0.0,0.0
fell,0.0,0.08,0.06,0.0,0.0,0.12,0.11,0.11,0.29,0.11,0.11,0.33,0.14,0.36,0.12,0.5,0.0,1.0,0.0,0.0
find,0.0,0.08,0.06,0.0,0.0,0.0,0.11,0.06,0.17,0.11,0.22,0.33,0.14,0.24,0.18,0.43,0.0,0.0,1.0,0.0
fine,0.0,0.0,0.0,0.0,0.0,0.12,0.11,0.11,0.12,0.0,0.11,0.22,0.0,0.2,0.12,0.21,0.0,0.0,0.0,0.0
finger,0.0,0.08,0.12,0.0,0.0,0.0,0.33,0.33,0.46,0.33,0.33,0.44,0.36,0.76,0.59,0.57,0.33,1.0,1.0,0.0
finish,0.0,0.0,0.12,0.25,0.0,0.12,0.11,0.17,0.21,0.22,0.22,0.33,0.21,0.52,0.53,0.5,0.67,0.0,1.0,0.0
fireman,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.03,0.08,0.0,0.11,0.44,0.07,0.28,0.29,0.29,0.33,1.0,0.0,1.0
firetrck,0.0,0.08,0.0,0.25,0.14,0.25,0.44,0.08,0.29,0.33,0.22,0.56,0.21,0.48,0.29,0.43,0.67,1.0,0.0,1.0
first,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.17,0.0,0.11,0.22,0.14,0.24,0.29,0.29,0.0,0.0,1.0,0.0
fish1,0.0,0.42,0.47,0.5,0.0,0.5,0.56,0.56,0.79,0.56,0.56,0.78,0.71,0.88,0.88,0.86,0.67,1.0,1.0,1.0
fish2,0.0,0.25,0.29,0.0,0.0,0.5,0.33,0.39,0.54,0.33,0.67,0.78,0.64,0.8,0.76,0.71,0.33,0.0,1.0,1.0
fit,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.06,0.12,0.0,0.11,0.33,0.0,0.16,0.06,0.14,0.0,0.0,0.0,0.0
fix,0.0,0.0,0.06,0.0,0.0,0.0,0.22,0.11,0.25,0.0,0.22,0.22,0.07,0.36,0.24,0.29,0.0,0.0,0.0,0.0
flag,0.0,0.0,0.06,0.0,0.0,0.0,0.11,0.08,0.08,0.11,0.11,0.33,0.0,0.4,0.47,0.29,0.33,1.0,0.0,0.0
flew,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.11,0.0,0.04,0.12,0.14,0.0,0.0,0.0,0.0
flied,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flower,0.0,0.25,0.12,0.25,0.14,0.12,0.33,0.36,0.46,0.33,0.67,0.67,0.71,0.6,0.71,0.71,0.67,1.0,1.0,1.0
food,0.0,0.33,0.18,0.25,0.0,0.0,0.11,0.14,0.38,0.22,0.11,0.22,0.29,0.48,0.35,0.57,0.0,0.0,1.0,0.0
foot,0.0,0.25,0.06,0.25,0.0,0.25,0.56,0.42,0.71,0.56,0.33,0.44,0.36,0.76,0.76,0.64,0.33,1.0,1.0,0.0
foots,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.11,0.0,0.11,0.0,0.12,0.29,0.07,0.33,0.0,0.0,0.0
for,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.06,0.04,0.0,0.22,0.22,0.14,0.2,0.18,0.29,0.0,0.0,0.0,0.0
fork,0.0,0.08,0.06,0.0,0.0,0.12,0.33,0.14,0.38,0.22,0.44,0.56,0.07,0.44,0.59,0.43,0.33,1.0,1.0,0.0
friend,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.11,0.17,0.0,0.11,0.22,0.07,0.44,0.41,0.14,0.0,1.0,0.0,0.0
frnchfrs,0.0,0.17,0.18,0.0,0.0,0.0,0.33,0.22,0.54,0.33,0.44,0.44,0.36,0.48,0.47,0.57,0.33,1.0,0.0,1.0
frog,0.0,0.25,0.06,0.0,0.0,0.12,0.22,0.22,0.38,0.44,0.33,0.56,0.36,0.56,0.41,0.5,0.67,1.0,1.0,0.0
full,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.11,0.22,0.33,0.0,0.28,0.24,0.36,0.0,0.0,1.0,0.0
game,0.0,0.17,0.0,0.0,0.0,0.0,0.11,0.08,0.17,0.22,0.22,0.22,0.14,0.52,0.29,0.43,0.0,1.0,0.0,0.0
garage,0.0,0.0,0.0,0.25,0.0,0.0,0.11,0.11,0.12,0.0,0.33,0.44,0.21,0.4,0.29,0.21,0.0,1.0,0.0,0.0
garbage,0.0,0.08,0.0,0.0,0.0,0.0,0.22,0.11,0.17,0.0,0.22,0.44,0.14,0.24,0.12,0.14,0.33,0.0,0.0,0.0
garden,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.03,0.0,0.0,0.11,0.22,0.07,0.12,0.18,0.07,0.0,0.0,0.0,0.0
gasstatn,0.0,0.0,0.0,0.0,0.0,0.12,0.11,0.03,0.08,0.0,0.22,0.33,0.14,0.16,0.12,0.29,0.0,1.0,0.0,0.0
gentle,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.04,0.0,0.11,0.22,0.0,0.04,0.18,0.07,0.0,0.0,0.0,0.0
get,0.0,0.25,0.06,0.0,0.0,0.0,0.22,0.11,0.38,0.33,0.33,0.33,0.14,0.52,0.47,0.36,0.33,0.0,1.0,1.0
getted,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0
giraffe,0.0,0.08,0.06,0.0,0.0,0.12,0.11,0.17,0.38,0.11,0.22,0.33,0.14,0.44,0.41,0.36,0.67,0.0,1.0,0.0
girl,0.0,0.08,0.06,0.0,0.0,0.25,0.22,0.19,0.25,0.22,0.22,0.33,0.29,0.52,0.53,0.36,0.33,1.0,1.0,0.0
give,0.0,0.17,0.06,0.25,0.14,0.0,0.11,0.11,0.29,0.22,0.44,0.33,0.14,0.44,0.41,0.36,0.33,0.0,1.0,0.0
givemefv,0.0,0.58,0.29,0.25,0.0,0.25,0.33,0.5,0.71,0.56,0.67,0.67,0.5,0.64,0.71,0.71,0.33,1.0,1.0,1.0
glass,0.0,0.17,0.0,0.0,0.0,0.0,0.11,0.14,0.29,0.11,0.22,0.22,0.21,0.48,0.35,0.36,0.0,1.0,1.0,0.0
glasses,0.0,0.0,0.06,0.0,0.14,0.0,0.22,0.11,0.38,0.44,0.22,0.33,0.14,0.36,0.41,0.29,0.33,1.0,1.0,1.0
gloves,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.06,0.04,0.11,0.33,0.33,0.07,0.16,0.29,0.29,0.0,0.0,0.0,0.0
glue,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.08,0.04,0.0,0.22,0.44,0.14,0.28,0.65,0.21,0.0,1.0,0.0,0.0
go,0.5,0.42,0.41,0.25,0.29,0.88,0.56,0.58,0.71,0.56,0.56,0.78,0.57,0.72,0.71,0.79,0.67,1.0,1.0,1.0
goed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0
gonna,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.03,0.12,0.11,0.22,0.22,0.07,0.24,0.35,0.21,0.0,1.0,0.0,1.0
gonnagty,0.0,0.25,0.18,0.0,0.0,0.0,0.33,0.28,0.42,0.44,0.22,0.44,0.14,0.48,0.53,0.29,0.0,1.0,0.0,1.0
good,0.0,0.25,0.24,0.25,0.0,0.0,0.11,0.28,0.42,0.11,0.56,0.44,0.57,0.4,0.59,0.57,0.0,0.0,0.0,0.0
goose,0.0,0.08,0.06,0.0,0.0,0.0,0.0,0.0,0.08,0.22,0.11,0.22,0.0,0.2,0.12,0.14,0.0,0.0,0.0,0.0
gopotty,0.0,0.08,0.12,0.0,0.0,0.12,0.56,0.36,0.46,0.22,0.33,0.44,0.36,0.48,0.53,0.36,0.33,1.0,0.0,0.0
got,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.06,0.17,0.11,0.22,0.33,0.0,0.32,0.18,0.36,0.0,0.0,1.0,1.0
gotta,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.03,0.12,0.0,0.11,0.11,0.0,0.04,0.18,0.36,0.0,0.0,0.0,1.0
gotted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0
grandma,0.0,0.33,0.18,0.0,0.43,0.38,0.44,0.5,0.58,0.44,0.56,0.44,0.36,0.64,0.71,0.71,0.33,1.0,1.0,0.0
grandpa,0.0,0.33,0.18,0.0,0.14,0.5,0.33,0.39,0.54,0.44,0.44,0.44,0.21,0.64,0.65,0.5,0.33,1.0,0.0,0.0
grapes,0.0,0.08,0.06,0.0,0.0,0.12,0.44,0.17,0.42,0.33,0.22,0.56,0.21,0.6,0.41,0.5,0.33,1.0,1.0,1.0
grass,0.0,0.08,0.06,0.0,0.0,0.12,0.22,0.03,0.25,0.22,0.44,0.44,0.07,0.44,0.35,0.5,0.33,1.0,0.0,0.0
green,0.0,0.08,0.0,0.0,0.0,0.12,0.22,0.08,0.29,0.0,0.22,0.44,0.29,0.64,0.35,0.36,0.33,0.0,1.0,0.0
greenbns,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.06,0.12,0.11,0.0,0.22,0.07,0.16,0.24,0.14,0.0,0.0,0.0,0.0
grr,0.5,0.58,0.24,0.75,0.57,0.38,0.67,0.5,0.46,0.44,0.33,0.67,0.36,0.72,0.65,0.5,0.67,0.0,1.0,1.0
gum,0.0,0.17,0.06,0.0,0.0,0.12,0.44,0.11,0.33,0.22,0.11,0.33,0.21,0.56,0.53,0.64,0.0,1.0,0.0,1.0
had,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.0,0.11,0.22,0.0,0.16,0.06,0.29,0.0,0.0,0.0,0.0
hafta,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.03,0.12,0.0,0.11,0.22,0.0,0.12,0.29,0.29,0.0,0.0,0.0,0.0
hair,0.0,0.33,0.12,0.0,0.0,0.25,0.56,0.31,0.58,0.44,0.44,0.56,0.43,0.72,0.82,0.71,0.33,1.0,1.0,0.0
hamburgr,0.0,0.0,0.0,0.25,0.0,0.12,0.33,0.17,0.33,0.22,0.33,0.44,0.57,0.72,0.47,0.71,0.33,1.0,1.0,1.0
hammer,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.06,0.25,0.11,0.11,0.33,0.14,0.2,0.24,0.29,0.0,1.0,0.0,0.0
hand,0.0,0.17,0.06,0.0,0.0,0.12,0.44,0.39,0.62,0.44,0.44,0.56,0.43,0.72,0.71,0.71,0.33,1.0,1.0,0.0
happy,0.0,0.08,0.18,0.0,0.0,0.25,0.11,0.25,0.42,0.11,0.56,0.33,0.5,0.6,0.59,0.43,0.33,1.0,1.0,0.0
hard,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.03,0.17,0.0,0.0,0.22,0.0,0.12,0.18,0.29,0.0,0.0,1.0,0.0
hat,0.5,0.17,0.18,0.25,0.14,0.38,0.44,0.28,0.58,0.44,0.22,0.44,0.36,0.52,0.53,0.64,0.33,1.0,1.0,0.0
hate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.11,0.22,0.0,0.04,0.06,0.21,0.0,1.0,0.0,0.0
have,0.0,0.08,0.06,0.0,0.0,0.0,0.0,0.08,0.25,0.22,0.22,0.33,0.07,0.32,0.24,0.14,0.0,0.0,1.0,0.0
haved,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
he,0.0,0.25,0.12,0.0,0.0,0.12,0.0,0.06,0.17,0.11,0.22,0.22,0.07,0.24,0.18,0.21,0.33,1.0,0.0,0.0
head,0.0,0.17,0.12,0.25,0.0,0.25,0.33,0.31,0.46,0.44,0.22,0.56,0.29,0.68,0.59,0.64,0.33,1.0,1.0,0.0
hear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.21,0.0,0.0,0.22,0.0,0.12,0.18,0.21,0.33,1.0,0.0,0.0
heard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.08,0.0,0.0,0.33,0.0,0.08,0.12,0.21,0.0,0.0,0.0,0.0
heared,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy,0.0,0.08,0.06,0.0,0.0,0.12,0.22,0.08,0.29,0.22,0.22,0.33,0.0,0.28,0.41,0.64,0.33,1.0,1.0,0.0
held,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.11,0.0,0.04,0.0,0.14,0.0,0.0,0.0,0.0
helicptr,0.0,0.17,0.06,0.0,0.0,0.12,0.33,0.06,0.33,0.33,0.22,0.56,0.07,0.44,0.47,0.43,0.33,1.0,0.0,0.0
hello,0.5,0.58,0.29,0.25,0.29,0.62,0.56,0.75,0.54,0.44,0.78,0.67,0.71,0.84,0.76,0.5,0.67,1.0,1.0,1.0
help,0.0,0.08,0.06,0.0,0.0,0.25,0.22,0.17,0.46,0.44,0.44,0.44,0.29,0.56,0.47,0.64,0.33,0.0,1.0,0.0
hen,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.03,0.04,0.0,0.0,0.44,0.0,0.12,0.06,0.14,0.67,1.0,0.0,0.0
her,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.12,0.0,0.0,0.22,0.07,0.12,0.18,0.14,0.0,1.0,0.0,0.0
here,0.0,0.17,0.06,0.0,0.0,0.25,0.0,0.19,0.29,0.44,0.33,0.33,0.21,0.32,0.41,0.36,0.33,0.0,1.0,0.0
hers,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.08,0.11,0.0,0.22,0.0,0.12,0.06,0.21,0.0,0.0,0.0,0.0
hi,1.0,0.67,0.59,0.5,0.57,0.5,0.78,0.69,0.79,1.0,0.89,0.67,0.71,0.84,0.88,0.93,0.67,1.0,1.0,1.0
hide,0.0,0.0,0.06,0.0,0.0,0.12,0.11,0.11,0.17,0.0,0.11,0.22,0.0,0.2,0.24,0.36,0.33,0.0,1.0,0.0
high,0.0,0.08,0.0,0.0,0.0,0.12,0.11,0.03,0.17,0.0,0.11,0.22,0.0,0.24,0.24,0.36,0.33,1.0,0.0,0.0
highchar,0.0,0.08,0.0,0.0,0.0,0.0,0.11,0.06,0.08,0.22,0.0,0.22,0.07,0.12,0.18,0.07,0.0,0.0,1.0,0.0
him,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.12,0.0,0.11,0.22,0.07,0.04,0.12,0.14,0.0,1.0,0.0,0.0
his,0.0,0.0,0.06,0.0,0.0,0.0,0.11,0.0,0.12,0.11,0.11,0.22,0.07,0.12,0.06,0.14,0.0,0.0,0.0,0.0
hit,0.0,0.0,0.12,0.0,0.0,0.0,0.33,0.08,0.21,0.0,0.33,0.33,0.14,0.28,0.41,0.36,0.33,1.0,1.0,0.0
hold,0.0,0.0,0.12,0.25,0.0,0.12,0.11,0.06,0.25,0.33,0.22,0.22,0.0,0.28,0.35,0.21,0.33,1.0,1.0,0.0
holded,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0
home,0.0,0.17,0.06,0.0,0.0,0.38,0.22,0.31,0.42,0.22,0.44,0.56,0.29,0.6,0.59,0.57,0.33,1.0,1.0,0.0
horse,0.0,0.25,0.24,0.0,0.0,0.5,0.44,0.28,0.54,0.56,0.56,0.78,0.5,0.8,0.65,0.64,1.0,1.0,1.0,0.0
hose,0.0,0.0,0.12,0.0,0.0,0.0,0.11,0.11,0.12,0.0,0.0,0.44,0.0,0.12,0.24,0.21,0.0,0.0,0.0,0.0
hot,0.5,0.42,0.41,0.5,0.29,0.62,0.33,0.44,0.67,0.67,0.33,0.56,0.43,0.72,0.82,0.71,0.67,1.0,1.0,1.0
house,0.0,0.25,0.29,0.25,0.0,0.12,0.11,0.31,0.46,0.33,0.22,0.44,0.43,0.72,0.47,0.64,0.33,0.0,1.0,1.0
how,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.03,0.04,0.0,0.22,0.11,0.07,0.08,0.12,0.29,0.0,0.0,1.0,0.0
hug,0.0,0.25,0.24,0.0,0.14,0.25,0.56,0.31,0.5,0.44,0.56,0.44,0.21,0.56,0.59,0.57,0.33,1.0,1.0,0.0
hungry,0.0,0.0,0.06,0.0,0.0,0.12,0.22,0.28,0.21,0.11,0.44,0.44,0.14,0.44,0.47,0.57,0.33,1.0,1.0,0.0
hurry,0.0,0.08,0.0,0.0,0.0,0.12,0.11,0.14,0.29,0.22,0.22,0.22,0.14,0.28,0.35,0.36,0.67,1.0,1.0,0.0
hurt,0.0,0.08,0.06,0.0,0.0,0.12,0.33,0.19,0.33,0.22,0.22,0.44,0.07,0.32,0.47,0.43,0.33,1.0,0.0,0.0
i,0.0,0.42,0.18,0.25,0.0,0.5,0.11,0.08,0.25,0.22,0.44,0.33,0.29,0.4,0.41,0.43,0.67,1.0,0.0,1.0
ice,0.0,0.25,0.24,0.0,0.14,0.12,0.44,0.19,0.54,0.22,0.22,0.56,0.21,0.52,0.65,0.57,0.33,1.0,1.0,0.0
icecream,0.5,0.17,0.12,0.0,0.0,0.25,0.56,0.36,0.58,0.56,0.56,0.78,0.43,0.76,0.82,0.86,1.0,1.0,1.0,1.0
if,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.08,0.0,0.14,0.0,0.0,0.0,0.0
ing,0.0,0.17,0.06,0.0,0.0,0.25,0.44,0.22,0.46,0.33,0.11,0.44,0.14,0.56,0.53,0.64,0.67,1.0,1.0,0.0
inside,0.0,0.08,0.06,0.0,0.0,0.12,0.11,0.08,0.33,0.33,0.33,0.33,0.0,0.32,0.41,0.29,0.0,0.0,1.0,0.0
into,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.22,0.0,0.08,0.06,0.14,0.0,0.0,0.0,0.0
is,0.0,0.08,0.0,0.0,0.0,0.0,0.11,0.08,0.21,0.0,0.33,0.33,0.07,0.32,0.18,0.36,0.33,0.0,0.0,1.0
it,0.0,0.08,0.12,0.0,0.0,0.0,0.0,0.11,0.21,0.11,0.11,0.33,0.07,0.2,0.12,0.29,0.0,1.0,0.0,0.0
jacket,0.0,0.25,0.06,0.5,0.0,0.38,0.22,0.25,0.42,0.44,0.44,0.56,0.36,0.56,0.53,0.5,0.0,1.0,1.0,1.0
jar,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.22,0.0,0.04,0.18,0.07,0.0,0.0,0.0,0.0
jeans,0.0,0.0,0.0,0.0,0.0,0.12,0.22,0.14,0.08,0.11,0.33,0.33,0.14,0.24,0.35,0.14,0.0,1.0,0.0,0.0
jello,0.0,0.08,0.12,0.0,0.14,0.0,0.22,0.25,0.17,0.11,0.33,0.44,0.14,0.4,0.47,0.43,0.33,1.0,1.0,1.0
jelly,0.0,0.0,0.06,0.0,0.0,0.0,0.11,0.17,0.12,0.11,0.22,0.22,0.0,0.32,0.24,0.29,0.0,1.0,1.0,0.0
juice,0.5,0.33,0.53,0.25,0.57,0.38,0.44,0.42,0.75,0.33,0.67,0.78,0.36,0.76,0.94,0.57,0.33,1.0,0.0,1.0
jump,0.0,0.08,0.12,0.25,0.0,0.12,0.33,0.28,0.46,0.44,0.33,0.56,0.29,0.6,0.71,0.5,0.33,1.0,1.0,0.0
keys,0.0,0.42,0.24,0.25,0.14,0.25,0.56,0.39,0.67,0.44,0.33,0.56,0.29,0.72,0.76,0.79,0.33,1.0,1.0,1.0
kick,0.0,0.08,0.12,0.0,0.0,0.0,0.22,0.08,0.33,0.11,0.33,0.44,0.07,0.44,0.35,0.5,0.33,1.0,0.0,0.0
kiss,0.0,0.33,0.29,0.25,0.14,0.38,0.33,0.44,0.62,0.78,0.67,0.67,0.71,0.84,0.94,0.79,0.33,1.0,1.0,0.0
kitchen,0.0,0.17,0.0,0.25,0.0,0.12,0.44,0.06,0.33,0.11,0.44,0.44,0.21,0.68,0.59,0.43,0.0,1.0,1.0,1.0
kitty,0.0,0.58,0.35,0.25,0.0,0.12,0.33,0.42,0.5,0.44,0.56,0.56,0.64,0.76,0.76,0.5,1.0,1.0,1.0,0.0
knee,0.0,0.08,0.06,0.25,0.0,0.0,0.33,0.03,0.46,0.33,0.22,0.33,0.14,0.32,0.35,0.21,0.33,1.0,1.0,0.0
knife,0.0,0.0,0.0,0.0,0.0,0.12,0.11,0.06,0.17,0.22,0.11,0.33,0.0,0.44,0.35,0.29,0.33,1.0,1.0,0.0
knock,0.0,0.08,0.12,0.0,0.0,0.12,0.11,0.14,0.17,0.22,0.33,0.22,0.0,0.28,0.24,0.36,0.0,1.0,0.0,0.0
ladder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.22,0.22,0.0,0.16,0.18,0.14,0.0,1.0,0.0,0.0
lady,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.08,0.17,0.11,0.0,0.11,0.0,0.2,0.24,0.21,0.0,1.0,0.0,0.0
lamb,0.0,0.08,0.12,0.0,0.0,0.12,0.11,0.08,0.08,0.11,0.22,0.33,0.07,0.16,0.24,0.21,0.67,0.0,0.0,0.0
lamp,0.5,0.08,0.06,0.0,0.0,0.12,0.0,0.08,0.04,0.0,0.11,0.44,0.07,0.24,0.41,0.21,0.0,1.0,0.0,0.0
last,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.0,0.11,0.22,0.0,0.04,0.12,0.07,0.0,0.0,0.0,0.0
later,0.0,0.08,0.06,0.0,0.0,0.0,0.11,0.03,0.08,0.11,0.22,0.33,0.0,0.28,0.24,0.36,0.0,1.0,0.0,0.0
lawnmowr,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.12,0.11,0.0,0.33,0.0,0.2,0.24,0.21,0.0,0.0,0.0,0.0
leg,0.0,0.17,0.12,0.25,0.0,0.25,0.33,0.17,0.42,0.33,0.22,0.44,0.14,0.52,0.35,0.29,0.33,1.0,0.0,0.0
lemme,0.0,0.0,0.12,0.0,0.0,0.12,0.0,0.11,0.29,0.11,0.33,0.33,0.07,0.36,0.41,0.71,0.0,1.0,0.0,0.0
lick,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.03,0.08,0.11,0.11,0.22,0.0,0.08,0.24,0.07,0.33,1.0,0.0,0.0
light,0.5,0.33,0.0,0.25,0.14,0.25,0.44,0.25,0.62,0.44,0.33,0.67,0.29,0.6,0.76,0.71,0.33,1.0,1.0,0.0
like,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.03,0.21,0.22,0.22,0.44,0.14,0.36,0.29,0.29,0.0,1.0,1.0,0.0
lion,0.0,0.33,0.12,0.25,0.0,0.25,0.44,0.17,0.46,0.22,0.33,0.44,0.43,0.64,0.76,0.5,0.67,1.0,1.0,1.0
lips,0.0,0.08,0.06,0.0,0.0,0.0,0.22,0.06,0.33,0.33,0.33,0.33,0.14,0.44,0.35,0.36,0.33,1.0,1.0,0.0
listen,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.11,0.25,0.0,0.11,0.33,0.0,0.24,0.47,0.29,0.67,1.0,1.0,0.0
